ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Coding Club,,FOUND
2,Maker Space,1,FOUND
3,STEM Education,2,FOUND
4,Computer Science Education,3,FOUND
5,Digital Literacy,4,FOUND
6,After School Program,5,FOUND
7,Extracurricular Learning,1|6,FOUND
8,Informal Learning,7,FOUND
9,Peer Learning,8,FOUND
10,Hands On Learning,9,FOUND
11,Project Based Learning,10,FOUND
12,Club Sustainability,11,FOUND
13,Single Leader Dependency,1|12,FOUND
14,Leadership Succession,13,FOUND
15,Continuous Improvement,14,FOUND
16,Post Event Notes,15,FOUND
17,Lessons Learned Log,16,FOUND
18,Club Evolution,17,FOUND
19,Hybrid Club Model,1|18,FOUND
20,AI In Education,19,FOUND
21,Generative AI,20,FOUND
22,AI Powered Club Tools,21,FOUND
23,Intelligent Textbook,22,FOUND
24,MicroSim,23,FOUND
25,Learning Graph,1|24,FOUND
26,Interactive Simulation,25,FOUND
27,Club History,26,FOUND
28,Club Benefits,27,FOUND
29,Library Coding Club,28,FOUND
30,Bookstore Coding Club,29,FOUND
31,Community Center Club,1|30,FOUND
32,School Based Club,31,FOUND
33,Club Mission Statement,32,FOUND
34,Club Vision,33,FOUND
35,Target Audience,34,FOUND
36,Course Reading Level,35,FOUND
37,Club Charter,1,GOV
38,Club Values,37,GOV
39,Code Of Conduct,38,GOV
40,Volunteer Background Check,39,GOV
41,Child Safety Policy,40,GOV
42,Liability Considerations,41,GOV
43,Parental Consent Form,37|42,GOV
44,Photo Release Form,43,GOV
45,Data Privacy Policy,44,GOV
46,Anti Harassment Policy,45,GOV
47,Conflict Resolution Process,46,GOV
48,Club Bylaws,47,GOV
49,Decision Making Process,37|48,GOV
50,Roles And Responsibilities,49,GOV
51,Club Leader Role,50,GOV
52,Assistant Leader Role,51,GOV
53,Mentor Role,52,GOV
54,Student Role,53,GOV
55,Parent Role,37|54,GOV
56,Volunteer Coordinator Role,55,GOV
57,Governance Structure,56,GOV
58,Advisory Committee,57,GOV
59,Club Policies Handbook,58,GOV
60,Incident Reporting Process,59,GOV
61,Emergency Contact List,37|60,GOV
62,Insurance Considerations,61,GOV
63,Venue Agreement,62,GOV
64,Club Registration With Venue,63,GOV
65,Legal Compliance Basics,64,GOV
66,Trademark And Branding,65,GOV
67,Club Naming Convention,37|66,GOV
68,Club Logo Design,67,GOV
69,Gauging Interest Survey,1|37,LAUNCH
70,Interest Survey Analysis,69,LAUNCH
71,Establishing A New Club,70,LAUNCH
72,Club Feasibility Assessment,71,LAUNCH
73,Founding Team,72,LAUNCH
74,First Club Meeting,73,LAUNCH
75,Meeting Agenda Design,69|74,LAUNCH
76,Promoting First Meeting,75,LAUNCH
77,Flyer Design,76,LAUNCH
78,Social Media Promotion,77,LAUNCH
79,Word Of Mouth Promotion,78,LAUNCH
80,Starting Small Strategy,79,LAUNCH
81,First Three Students,69|80,LAUNCH
82,Pilot Cohort,81,LAUNCH
83,Walk In Experience,82,LAUNCH
84,First Impression Design,83,LAUNCH
85,Parent Perception,84,LAUNCH
86,Student Perception,85,LAUNCH
87,Elevator Pitch,69|86,LAUNCH
88,Value Proposition Statement,87,LAUNCH
89,Club Growth Strategy,88,LAUNCH
90,Scaling A Club,89,LAUNCH
91,Multi Site Expansion,90,LAUNCH
92,Franchise Model,91,LAUNCH
93,Club Branding,69|92,LAUNCH
94,Welcome Statement Design,93,LAUNCH
95,Onboarding New Students,94,LAUNCH
96,Onboarding New Mentors,95,LAUNCH
97,Word Of Mouth Referral,96,LAUNCH
98,Community Outreach,97,LAUNCH
99,School Partnership Outreach,69|98,LAUNCH
100,Library Partnership Outreach,99,LAUNCH
101,Local Media Coverage,100,LAUNCH
102,Press Release Writing,101,LAUNCH
103,Grand Opening Event,102,LAUNCH
104,Club Anniversary Event,103,LAUNCH
105,Club Milestone Tracking,69|104,LAUNCH
106,Success Story Sharing,105,LAUNCH
107,Testimonial Collection,106,LAUNCH
108,Club Newsletter,107,LAUNCH
109,Club Website,108,LAUNCH
110,Club Social Media Account,109,LAUNCH
111,Classroom Layout,69|74|110,LAUNCH
112,Monitors Facing Inward,111,LAUNCH
113,Center Table Design,112,LAUNCH
114,Challenge Card Display,113,LAUNCH
115,Seating Arrangement,114,LAUNCH
116,Power Strip Placement,115,LAUNCH
117,Cable Management,69|116,LAUNCH
118,Noise Level Management,117,LAUNCH
119,Lighting Considerations,118,LAUNCH
120,Room Temperature Comfort,119,LAUNCH
121,Storage For Kits,120,LAUNCH
122,Charging Station Setup,121,LAUNCH
123,Whiteboard Usage,69|122,LAUNCH
124,Session Time Block,123,LAUNCH
125,Session Warm Up Activity,124,LAUNCH
126,Session Wrap Up Activity,125,LAUNCH
127,Transition Between Activities,126,LAUNCH
128,Small Group Rotation,127,LAUNCH
129,Station Based Learning,69|128,LAUNCH
130,Safety Zone Marking,129,LAUNCH
131,Emergency Exit Awareness,130,LAUNCH
132,First Aid Kit Location,131,LAUNCH
133,Accessibility Of Space,132,LAUNCH
134,Restroom Break Policy,133,LAUNCH
135,Snack And Water Policy,69|134,LAUNCH
